Target Distance: 100, Step Size: 20
(x, y) = (8.13473, 18.2709)
(x, y) = (-1.2547, 35.9299)
(x, y) = (-14.3759, 20.8357)
(x, y) = (-26.1316, 4.65533)
(x, y) = (-16.7422, -13.0036)
(x, y) = (-9.90175, 5.79023)
(x, y) = (-11.9923, 25.6807)
(x, y) = (-2.29613, 43.1731)
(x, y) = (-9.13653, 24.3792)
(x, y) = (1.46186, 41.3402)
(x, y) = (6.30029, 21.9343)
(x, y) = (19.156, 37.2551)
(x, y) = (16.0274, 57.0089)
(x, y) = (-3.5356, 61.1671)
(x, y) = (4.59914, 42.8962)
(x, y) = (21.5601, 32.2979)
(x, y) = (37.103, 19.7114)
(x, y) = (49.1393, 3.73873)
(x, y) = (29.334, 6.5222)
(x, y) = (49.1393, 3.73873)
(x, y) = (40.687, 21.8649)
(x, y) = (41.3849, 41.8527)
(x, y) = (51.9833, 24.8917)
(x, y) = (63.1672, 8.31099)
(x, y) = (44.8963, 16.4457)
(x, y) = (63.6901, 9.60532)
(x, y) = (43.8848, 6.82186)
(x, y) = (23.8878, 7.17091)
(x, y) = (32.3402, 25.2971)
(x, y) = (20.027, 41.0573)
(x, y) = (14.8506, 60.3758)
(x, y) = (26.6063, 76.5561)
(x, y) = (29.0437, 56.7052)
(x, y) = (9.48071, 52.547)
(x, y) = (-9.9252, 57.3854)
(x, y) = (-26.6986, 68.2782)
(x, y) = (-37.297, 85.2392)
(x, y) = (-47.297, 67.9187)
(x, y) = (-37.9076, 50.2597)
(x, y) = (-30.7402, 31.5881)
(x, y) = (-17.3576, 46.451)
(x, y) = (0.91331, 54.5857)
(x, y) = (9.36568, 72.7119)
(x, y) = (-9.42818, 65.8715)
(x, y) = (5.43472, 79.2541)
(x, y) = (-10.9483, 90.7256)
(x, y) = (5.63243, 101.909)
After 47 steps, the subject has the following location: 
(x, y) = (5.63243, 101.909)
or
(m, a) = (102.065, 86.8365)
Average outward distance per step = 2.1716
Target Distance: 200, Step Size: 30
(x, y) = (-14.5443, -26.2386)
(x, y) = (-42.9098, -36.0056)
(x, y) = (-57.9098, -61.9864)
(x, y) = (-28.461, -67.7107)
(x, y) = (-24.2858, -38.0026)
(x, y) = (5.70959, -38.5262)
(x, y) = (17.4315, -10.9111)
(x, y) = (43.92, -24.9952)
(x, y) = (70.1585, -39.5395)
(x, y) = (43.6701, -53.6236)
(x, y) = (26.0366, -77.8941)
(x, y) = (28.1293, -107.821)
(x, y) = (20.3647, -136.799)
(x, y) = (36.7039, -161.959)
(x, y) = (10.2154, -147.875)
(x, y) = (-16.7484, -134.724)
(x, y) = (-19.8842, -164.559)
(x, y) = (9.95141, -167.695)
(x, y) = (-14.0077, -185.75)
(x, y) = (2.33151, -160.59)
(x, y) = (11.602, -132.058)
(x, y) = (41.4879, -129.443)
(x, y) = (45.6631, -159.151)
(x, y) = (72.6269, -172.302)
(x, y) = (42.8505, -175.958)
(x, y) = (30.1719, -148.769)
(x, y) = (26.5159, -178.546)
(x, y) = (27.0394, -148.55)
(x, y) = (25.9925, -118.568)
(x, y) = (4.41226, -97.7287)
(x, y) = (-23.9533, -87.9616)
(x, y) = (-6.31974, -112.232)
(x, y) = (-32.3005, -97.2321)
(x, y) = (-25.552, -68.001)
(x, y) = (-49.8225, -85.6346)
(x, y) = (-78.5116, -76.8634)
(x, y) = (-103.953, -60.9658)
(x, y) = (-77.4646, -46.8817)
(x, y) = (-107.446, -47.9287)
(x, y) = (-111.102, -18.1523)
(x, y) = (-106.927, 11.5557)
(x, y) = (-85.3471, -9.28401)
(x, y) = (-86.9171, 20.6749)
(x, y) = (-60.9364, 35.6749)
(x, y) = (-74.5561, 62.4051)
(x, y) = (-92.6105, 86.3641)
(x, y) = (-107.155, 60.1255)
(x, y) = (-120.775, 33.3954)
(x, y) = (-142.355, 12.5556)
(x, y) = (-115.391, 25.7067)
(x, y) = (-121.628, -3.63769)
(x, y) = (-99.6877, -24.0976)
(x, y) = (-87.0091, 3.09159)
(x, y) = (-68.5393, 26.7319)
(x, y) = (-97.7704, 19.9834)
(x, y) = (-103.495, 49.4322)
(x, y) = (-81.9144, 28.5924)
(x, y) = (-82.438, 58.5879)
(x, y) = (-59.4567, 39.3042)
(x, y) = (-84.8981, 55.2018)
(x, y) = (-100.349, 29.4868)
(x, y) = (-130.057, 33.662)
(x, y) = (-109.597, 55.6026)
(x, y) = (-133.238, 74.0725)
(x, y) = (-117.787, 48.3574)
(x, y) = (-147.745, 49.9275)
(x, y) = (-148.792, 19.9458)
(x, y) = (-170.006, 41.159)
(x, y) = (-140.461, 35.9495)
(x, y) = (-115.02, 20.052)
(x, y) = (-97.3864, -4.21854)
